"region","contents","quarter","09332: Transfers of holiday properties with building, free market sale, by region, contents and quarter"
"01 Østfold","Total purchase price, transfer of title (NOK million)","2017K4",176
"01 Østfold","Total purchase price, transfer of title (NOK million)","2018K1",62
"01 Østfold","Total purchase price, transfer of title (NOK million)","2018K2",210
"01 Østfold","Total purchase price, transfer of title (NOK million)","2018K3",278
"01 Østfold","Total purchase price, transfer of title (NOK million)","2018K4",171
"01 Østfold","Total purchase price, transfer of title (NOK million)","2019K1",89
"01 Østfold","Total purchase price, transfer of title (NOK million)","2019K2",286
"01 Østfold","Total purchase price, transfer of title (NOK million)","2019K3",313
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2000K1",504
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2000K2",856
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2000K3",853
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2000K4",825
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2001K1",551
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2001K2",679
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2001K3",805
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2001K4",813
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2002K1",862
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2002K2",807
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2002K3",1054
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2002K4",996
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2003K1",1160
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2003K2",1133
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2003K3",991
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2003K4",971
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2004K1",792
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2004K2",1182
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2004K3",962
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2004K4",1098
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2005K1",725
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2005K2",1367
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2005K3",1197
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2005K4",993
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2006K1",715
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2006K2",1755
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2006K3",1267
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2006K4",904
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2007K1",997
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2007K2",1160
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2007K3",1302
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2007K4",1100
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2008K1",1232
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2008K2",1366
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2008K3",2036
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2008K4",1429
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2009K1",1032
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2009K2",1697
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2009K3",1668
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2009K4",1165
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2010K1",1373
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2010K2",1615
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2010K3",1787
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2010K4",1407
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2011K1",1152
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2011K2",1775
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2011K3",1578
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2011K4",1314
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2012K1",1248
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2012K2",1804
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2012K3",2235
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2012K4",1828
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2013K1",1764
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2013K2",1649
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2013K3",1897
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2013K4",1474
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2014K1",1752
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2014K2",2086
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2014K3",2110
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2014K4",2096
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2015K1",1113
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2015K2",2302
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2015K3",2125
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2015K4",1849
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2016K1",2327
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2016K2",2342
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2016K3",2367
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2016K4",3173
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2017K1",1772
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2017K2",2617
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2017K3",2313
"01 Østfold","Purchase price per transfer of title (NOK 1 000)","2017K4",2223
